,营业成本,税金及附加,销售费用,管理费用,财务费用,研发费用,y
2017,24808729113,994922632.6,89175138.2,2885435167,1017733993,45188123.34,13213280915
2018,25966578948,375111075.1,93419895.84,3050090720,1209424228,51556872.04,14261140584
2019,25015768134,342887409.3,79623718.49,3138260899,812624024.5,47207613.87,11869077426
2020,16628540181,492346868.5,160294046.5,3323839504,841651919,82343710.04,10586267534
2021,20329436294,879780283.7,164331521.3,4168416532,907020865.2,143453074.3,17860772873
